-13984195.8680392355	  inf
-13983988.3341999538	1.48406e-05
-13983914.9952102788	5.24450e-06
-13983865.1423607133	3.56501e-06
-13983829.0322755501	2.58227e-06
-13983801.5950628761	1.96207e-06
-13983779.9740630705	1.54615e-06
-13983762.4533764068	1.25293e-06
-13983747.9277453367	1.03875e-06
-13983735.6668286398	8.76798e-07
-13983725.1592726875	7.51413e-07
-13983716.0328474268	6.52646e-07
-13983708.0252080616	5.72640e-07
-13983700.9169373475	5.08325e-07
-13983694.5604030862	4.54567e-07
-13983688.8336946163	4.09528e-07
-13983683.6440858059	3.71119e-07
-13983678.9108563438	3.38482e-07
-13983674.5805090219	3.09672e-07
-13983670.5990216620	2.84724e-07
-13983666.9275108632	2.62557e-07
-13983663.5317522604	2.42837e-07
-13983660.3776690364	2.25555e-07
-13983657.4427382741	2.09883e-07
-13983654.7033090554	1.95902e-07
-13983652.1391700450	1.83367e-07
-13983649.7314855792	1.72179e-07
-13983647.4647301733	1.62100e-07
-13983645.3258268349	1.52957e-07
-13983643.3001041543	1.44864e-07
-13983641.3793310598	1.37359e-07
-13983639.5534996595	1.30569e-07
-13983637.8135379590	1.24428e-07
-13983636.1512422990	1.18874e-07
-13983634.5607593097	1.13739e-07
-13983633.0363955535	1.09011e-07
-13983631.5732593685	1.04632e-07
-13983630.1637633070	1.00796e-07
-13983628.8078646660	9.69633e-08
